longitude,latitude,weight [ton],"source [0:land, 1:river]",country,country id,distance to coast [km]
-97.4572,22.0029,10.8696,0,Mexico,143,23.659
-97.4689,22.012,11.3177,0,Mexico,143,23.153
-97.4884,22.1646,16.837,0,Mexico,143,29.406
-97.5962,22.3112,29.3762,0,Mexico,143,18.819
-97.6153,22.4273,12.1117,0,Mexico,143,23.313
-97.6208,22.6613,14.3621,0,Mexico,143,21.323
-97.6141,22.8243,10.6504,0,Mexico,143,16.665
-97.5004,24.7424,22.7264,0,Mexico,143,11.124
-97.1694,25.1001,11.7366,0,Mexico,143,29.493
-97.2255,21.3066,28.2073,0,Mexico,143,17.713
-97.1771,21.2567,42.8269,0,Mexico,143,15.889
-97.1854,21.2492,36.7927,0,Mexico,143,14.704
-97.1446,25.3003,11.0508,0,Mexico,143,22.202
-97.0497,25.4393,63.2542,0,Mexico,143,23.129
-97.0537,26.5775,13.9175,0,United States,235,21.354
-96.9328,20.8233,15.0705,0,Mexico,143,28.612
-97.0688,20.9402,47.7673,0,Mexico,143,20.553
-97.1514,21.1231,43.785,0,Mexico,143,12.291
-97.1739,21.301,14.2926,0,Mexico,143,18.975
-97.2164,21.2931,35.2637,0,Mexico,143,17.521
-96.9319,26.0057,33.2464,0,United States,235,21.765
-96.9532,26.2653,20.0341,0,United States,235,23.274
-96.8844,20.7041,39.4244,0,Mexico,143,26.705
-96.936,20.7956,45.4979,0,Mexico,143,27.459
-96.9703,25.9723,30.2975,0,Mexico,143,17.587
-96.9763,27.5793,61.071,0,United States,235,18.621
-96.6197,20.4621,91.1845,0,Mexico,143,29.104
-96.7094,20.5522,36.3192,0,Mexico,143,29.212
-96.8847,20.7479,42.3272,0,Mexico,143,30.065
-96.1495,19.6713,23.2864,0,Mexico,143,24.363
-96.2953,20.0681,54.2361,0,Mexico,143,28.474
-96.4931,20.3069,52.1708,0,Mexico,143,27.612
-96.6405,20.5061,47.4603,0,Mexico,143,31.013
-96.1904,28.3813,12.5488,0,United States,235,11.757
-96.0582,19.4511,19.5832,0,Mexico,143,24.454
-96.067,19.4349,42.1896,0,Mexico,143,22.666
-96.1395,19.6788,28.1352,0,Mexico,143,25.615
-96.217,19.916,31.846,0,Mexico,143,25.29
-96.2883,20.0486,21.7387,0,Mexico,143,27.483
-95.9338,19.3049,10.3125,0,Mexico,143,15.067
-96.0211,19.3782,37.3079,0,Mexico,143,16.816
-96.0962,19.4548,66.3878,0,Mexico,143,22.544
-96.1374,19.6532,45.5396,0,Mexico,143,25.073
-96.2107,19.9319,11.7703,0,Mexico,143,26.504
-95.6815,19.066,14.6275,0,Mexico,143,14.878
-95.7905,19.1449,30.0628,0,Mexico,143,4.7724
-95.5046,18.9362,30.2273,0,Mexico,143,24.684
-95.6868,19.033,21.3826,0,Mexico,143,14.453
-95.7905,19.1265,15.4583,0,Mexico,143,5.4745
-95.5484,18.9528,38.7511,0,Mexico,143,25.919
-95.5187,18.9721,17.7652,0,Mexico,143,28.555
-94.966,28.9329,12.3736,0,United States,235,21.585
-95.4298,18.9555,46.5851,0,Mexico,143,27.176
-95.4668,18.942,69.8959,0,Mexico,143,25.564
-95.0253,28.8779,16.8103,0,United States,235,22.722
-94.4543,29.2873,11.8273,0,United States,235,22.59
-94.5358,18.573,28.3506,0,Mexico,143,27.447
-94.8697,18.8135,32.8327,0,Mexico,143,29.364
-94.956,28.9561,17.0436,0,United States,235,20.603
-94.4507,29.3114,74.5489,0,United States,235,21.734
-94.502,29.2696,37.9816,0,United States,235,18.989
-94.4002,18.4252,46.417,0,Mexico,143,28.015
-94.5458,18.5414,55.0454,0,Mexico,143,24.686
-94.5625,18.5728,15.3291,0,Mexico,143,24.789
-94.8612,18.7789,10.8108,0,Mexico,143,25.608
-94.7428,29.0649,24.7893,0,United States,235,23.1
-94.512,29.3081,24.2382,0,United States,235,16.582
-94.5113,29.2761,27.4062,0,United States,235,17.863
-94.4261,18.3889,20.7243,0,Mexico,143,23.609
-94.5434,18.5307,17.0406,0,Mexico,143,24.291
-94.2304,18.3983,31.657,0,Mexico,143,22.382
-94.2573,18.4106,58.61,0,Mexico,143,24.35
-93.9998,29.4595,25.7453,0,United States,235,24.087
-94.2557,18.4035,37.807,0,Mexico,143,23.545
-94.2343,18.3728,25.8437,0,Mexico,143,19.681
-93.9944,29.4512,12.5498,0,United States,235,25.127
-94.0018,29.4422,23.4054,0,United States,235,25.831
-93.9682,18.497,26.6005,0,Mexico,143,24.511
-93.5813,29.505,10.172,0,United States,235,27.881
-93.7097,18.5366,18.5613,0,Mexico,143,19.461
-93.676,18.5571,77.9689,0,Mexico,143,20.451
-93.7027,18.5428,35.9764,0,Mexico,143,19.861
-93.2676,18.6407,15.6374,0,Mexico,143,22.091
-93.2796,29.5261,13.8035,0,United States,235,24.958
-93.2682,29.5377,14.0248,0,United States,235,24.011
-93.0344,18.6503,31.8164,0,Mexico,143,23.817
-93.0184,18.6092,57.7222,0,Mexico,143,19.774
-93.0445,18.6296,64.6797,0,Mexico,143,21.339
-93.0629,18.6588,28.3963,0,Mexico,143,24.204
-92.9325,18.7269,10.8088,0,Mexico,143,28.26
-92.5778,18.8827,32.0376,0,Mexico,143,28.001
-92.052,29.3681,29.2785,0,United States,235,20.384
-92.0643,29.3485,23.9386,0,United States,235,22.86
-91.8472,29.3609,16.5054,0,United States,235,12.827
-91.4623,18.7859,12.1453,0,Mexico,143,0.59215
-91.5495,29.3749,10.1902,0,United States,235,15.671
-91.046,19.3793,10.5618,0,Mexico,143,26.205
-90.9299,19.4611,36.6528,0,Mexico,143,22.421
-90.6686,29.035,19.0074,0,United States,235,2.6251
-90.7156,20.0806,38.1032,0,Mexico,143,23.488
-89.1842,30.0678,10.1761,0,United States,235,0.44687
-89.1755,30.0695,12.2673,0,United States,235,0.71144
-90.701,20.2294,40.1502,0,Mexico,143,22.101
-90.6688,20.7395,41.0066,0,Mexico,143,22.66
-90.6102,20.7138,10.6983,0,Mexico,143,16.232
-89.9308,29.1145,50.3308,0,United States,235,5.8962
-89.1771,30.0887,73.3158,0,United States,235,2.7563
-89.1976,30.0985,10.9596,0,United States,235,2.8366
-90.6176,20.7165,24.0059,0,Mexico,143,17.026
-89.8913,21.4397,42.0801,0,Mexico,143,21.496
-89.2235,29.8591,28.1568,0,United States,235,2.6335
-89.2238,30.0632,12.7116,0,United States,235,0.14965
-89.8091,21.438,60.5288,0,Mexico,143,16.387
-89.1763,30.0917,15.0168,0,United States,235,3.0809
-88.2912,16.1764,35.6514,0,Belize,30,5.5902
-89.5401,21.531,49.7905,0,Mexico,143,24.21
-89.5483,21.5066,22.3415,0,Mexico,143,21.696
-88.3341,16.0508,35.9527,0,Belize,30,9.344
-88.3087,16.0589,68.6065,0,Belize,30,6.8334
-88.3295,16.1858,26.6771,0,Belize,30,9.4035
