longitude,latitude,weight [ton],"source [0:land, 1:river]",country,country id,distance to coast [km]
-71.9177,19.9496,13.3271,1,Dominican Republic,64,12.377
-69.6246,19.5497,11.8986,1,Dominican Republic,64,25.937
-95.6925,19.0113,18.395,1,Mexico,143,14.461
-72.318,18.0051,18.1016,1,Haiti,101,24.09
-72.3174,18.0257,11.3763,1,Haiti,101,21.803
-72.5573,17.9156,10.5646,1,Haiti,101,28.349
-87.3029,16.0193,13.641,1,Honduras,99,20.352
-88.2556,15.9986,17.9213,1,Belize,30,12.157
-84.2296,15.9916,44.8551,1,Honduras,99,21.072
-88.1742,15.9789,20.3401,1,Belize,30,17.434
-82.9795,14.9407,80.5878,1,Honduras,99,6.9278
-83.265,12.8722,49.046,1,Nicaragua,165,10.122
-83.5173,12.0291,21.1813,1,Nicaragua,165,18.122
-83.1855,10.4486,14.6409,1,Costa Rica,53,23.719
-73.686,11.4337,14.0073,1,Colombia,50,19.199
-73.5929,11.4327,12.3228,1,Colombia,50,18.774
-74.4999,11.1787,20.7302,1,Colombia,50,21.048
-74.4913,11.1741,40.4631,1,Colombia,50,20.836
-61.697,10.4173,27.0199,1,Trinidad and Tobago,225,20.149
-75.6677,10.6554,15.0164,1,Colombia,50,19.273
-65.819,10.5807,90.4154,1,Venezuela,239,24.754
-75.8522,10.0668,13.4447,1,Colombia,50,12.062
-71.4512,11.1215,40.017,1,Venezuela,239,17.113
-71.4201,11.1412,38.42,1,Venezuela,239,19.227
-58.0952,7.0436,44.8682,1,Guyana,96,24.265
-57.377,6.5716,13.2068,1,Guyana,96,27.754
-57.3674,6.5572,43.3156,1,Guyana,96,26.535
-92.8181,18.8037,145.824,1,Mexico,143,24.768
-92.7801,18.8141,145.824,1,Mexico,143,23.841
-92.8231,18.7751,145.824,1,Mexico,143,22.523
-85.6879,16.1844,47.63,1,Honduras,99,23.932
-85.7013,16.1871,47.63,1,Honduras,99,23.762
-85.6774,16.1288,47.63,1,Honduras,99,18.357
-87.7298,16.0545,134.154,1,Honduras,99,14.839
-87.7689,16.0505,134.154,1,Honduras,99,15.042
-87.7508,16.1077,134.154,1,Honduras,99,20.893
-87.762,16.0523,54.7849,1,Honduras,99,15.041
-87.7824,16.0613,54.7849,1,Honduras,99,16.62
-87.7286,16.0505,54.7849,1,Honduras,99,14.393
-88.3148,16.0753,94.7176,1,Belize,30,6.0079
-88.3174,16.1091,94.7176,1,Belize,30,5.0454
-88.3069,16.0944,94.7176,1,Belize,30,4.2131
-76.0668,9.5925,73.7308,1,Colombia,50,21.027
-76.0778,9.6314,73.7308,1,Colombia,50,25.139
-76.0997,9.5864,73.7308,1,Colombia,50,22.347
-77.1491,8.8121,65.8604,1,Colombia,50,26.509
-77.0954,8.7712,65.8604,1,Colombia,50,27.477
-77.0982,8.7798,65.8604,1,Colombia,50,26.718
-58.0754,7.0156,66.5011,1,Guyana,96,21.418
-58.0513,7.0343,66.5011,1,Guyana,96,23.833
-58.0956,7.0157,66.5011,1,Guyana,96,21.184
-57.5094,6.7514,47.5896,1,Guyana,96,33.353
-57.4897,6.7104,47.5896,1,Guyana,96,31.472
-57.5122,6.7013,47.5896,1,Guyana,96,28.995
-56.9772,6.2121,41.4553,1,Suriname,208,21.945
-56.9887,6.2319,41.4553,1,Suriname,208,24.258
-56.9343,6.2186,41.4553,1,Suriname,208,22.8
-88.2415,15.9711,312.507,1,Belize,30,15.402
-88.256,15.9963,312.507,1,Belize,30,12.407
-88.2523,16.0186,312.507,1,Belize,30,10.003
-88.2101,16.0265,312.507,1,Belize,30,10.902
-88.2586,16.0021,312.507,1,Belize,30,11.739
-88.2387,16.0195,312.507,1,Belize,30,10.25
-88.2576,16.004,312.507,1,Belize,30,11.538
-88.2357,16.0161,312.507,1,Belize,30,10.709
-88.2081,15.9686,312.507,1,Belize,30,16.69
-83.3377,10.7907,119.533,1,Costa Rica,53,26.552
-83.3817,10.8243,119.533,1,Costa Rica,53,22.544
-83.3819,10.808,119.533,1,Costa Rica,53,22.222
-83.3594,10.8079,119.533,1,Costa Rica,53,24.615
-83.3534,10.7869,119.533,1,Costa Rica,53,24.793
-83.3817,10.7728,119.533,1,Costa Rica,53,21.425
-83.3513,10.7868,119.533,1,Costa Rica,53,25.017
-83.338,10.783,119.533,1,Costa Rica,53,26.315
-83.3419,10.7901,119.533,1,Costa Rica,53,26.089
-60.4665,8.9618,298.604,1,Venezuela,239,20.125
-60.5011,8.9398,298.604,1,Venezuela,239,15.659
-60.474,8.9332,298.604,1,Venezuela,239,17.543
-60.4731,8.9577,298.604,1,Venezuela,239,19.279
-60.4625,8.93,298.604,1,Venezuela,239,18.416
-60.5084,8.9558,298.604,1,Venezuela,239,16.374
-60.4573,8.9637,298.604,1,Venezuela,239,21.038
-60.4874,8.9689,298.604,1,Venezuela,239,19.002
-60.4864,8.9302,298.604,1,Venezuela,239,16.237
-74.8527,11.2849,618.812,1,Colombia,50,19.669
-74.8791,11.3094,618.812,1,Colombia,50,22.602
-74.8996,11.2874,618.812,1,Colombia,50,20.584
-74.8734,11.2576,618.812,1,Colombia,50,16.813
-74.8993,11.3016,618.812,1,Colombia,50,22.114
-74.8857,11.2945,618.812,1,Colombia,50,21.06
-74.8574,11.255,618.812,1,Colombia,50,16.364
-74.8845,11.2583,618.812,1,Colombia,50,17.075
-74.8528,11.267,618.812,1,Colombia,50,17.68
